deal_id,status,email_dominio,fonte_rd,utm_source_rd,tem_fbclid,tem_gclid,meetime,meetime_desde,classe
460383,won,gmail.com,google,www.google.com,0,0,s,2026-07-13T22:56:27.588Z,recuperado_rd_google
460397,open,gmail.com,direto,direto,0,0,s,2026-07-14T11:52:24.204Z,recuperado_rd_direto
460407,lost,,,,0,0,n,,sem_email
460424,won,gmail.com,google,google,0,1,s,2026-07-13T21:59:54.441Z,recuperado_rd_google
460426,lost,gmail.com,direto,direto,0,0,s,2026-07-14T00:38:50.619Z,recuperado_rd_direto
460431,open,outlook.com,br_search_yahoo_com,br.search.yahoo.com,0,0,s,2026-07-02T23:34:50.266Z,recuperado_rd_br_search_yahoo_com
460433,open,gmail.com,google,www.google.com,0,0,s,2026-07-14T13:21:16.415Z,recuperado_rd_google
460436,lost,gmail.com,cardapioweb_com,cardapioweb.com,0,0,s,2026-07-14T13:02:53.247Z,recuperado_rd_cardapioweb_com
460439,lost,cafecantodasaguas.com.br,direto,direto,0,0,s,2026-07-13T20:58:56.025Z,recuperado_rd_direto
460442,lost,outlook.com,meta,meta,1,0,s,2026-07-14T02:48:23.669Z,recuperado_rd_meta
460446,won,hotmail.com,google,www.google.com,0,0,s,2026-07-06T19:54:56.792Z,recuperado_rd_google
460465,won,cardapioweb.com,,,0,0,n,,escuro
460466,won,gmail.com,,,0,0,n,,escuro
460475,open,gmail.com,,,0,0,n,,escuro
460499,lost,gmail.com,direto,direto,0,0,s,2026-07-14T14:42:14.334Z,recuperado_rd_direto
460508,open,gmail.com,google,www.google.com,0,0,s,2026-06-14T01:31:20.877Z,recuperado_rd_google
460513,lost,gmail.com,direto,direto,0,0,s,2026-07-14T14:42:14.334Z,recuperado_rd_direto
460528,lost,gmail.com,direto,direto,0,0,s,2026-07-10T00:06:33.899Z,recuperado_rd_direto
460534,lost,gmail.com,direto,direto,0,0,s,2026-07-14T00:38:50.619Z,recuperado_rd_direto
